text,author
Politics: A strife of interests masquerading as a contest of principles. The conduct of public affairs for private advantage.,Ambrose Bierce
You can certainly keep a low public profile if you want to.,Rosamund Pike
I believe I am entitled to a public explanation.,Richard Jewell
"Ultimately, the question of campaign contributions will be decided by the public.",Stephen Breyer
I was getting a lot of hassles from the public. Everybody recognized me.,Henry Thomas
"If I have done the public any service, it is due to my patient thought.",Isaac Newton
All propaganda has to be popular and has to accommodate itself to the comprehension of the least intelligent of those whom it seeks to reach.,Adolf Hitler
We need to be honest with the public.,Mitch McConnell
Why can't the state accede to the public's wishes?,Antonin Scalia
"Sorry, public speaking isn't really my strong side.",Naomi Osaka
The only thing an actor owes his public is not to bore them.,Marlon Brando
The only ones who like Milton Berle are his mother - and the public.,Walter Winchell
"Every government is a parliament of whores. The trouble is, in a democracy, the whores are us.",Patrick Jake O'Rourke
I'm very political. I'm not political in public; I'm political at home.,Melania Trump
I went from being an ailing child to a public enemy.,Pat Morita
"For every $1 billion we invest in public transportation, we create 30,000 jobs, save thousands of dollars a year for each commuter, and dramatically cut greenhouse gas emissions.",Bernie Sanders
"Myths are public dreams, dreams are private myths.",Joseph Campbell
Morals are private. Decency is public.,Rita Mae Brown
"If we could have somehow stayed away from the public and the press, it might have been different, but every private issue seemed to be played out on the front page.",Marla Maples
"As far as the public is concerned, India is amazingly secular.",Shah Rukh Khan
"I met this woman, I fell in love with her, and I'm a public figure.",Cynthia Nixon
I pretty much grew up in public.,Julia Stiles
I grew up in a little cul-de-sac in the suburbs and went to public school. I went to Costco on the weekends.,Rooney Mara
There's a tremendous gap between public opinion and public policy.,Noam Chomsky
Any privacy in public is a hard thing to negotiate.,Benedict Cumberbatch
"Cablegate is 3,000 volumes of material. It is the greatest intellectual treasure to have entered into the public record in modern times.",Julian Assange
I don't believe that the public knows what it wants; this is the conclusion that I have drawn from my career.,Charlie Chaplin
We are not trying to entertain the critics. I'll take my chances with the public.,Walt Disney
My sole motive is to inform the public as to that which is done in their name and that which is done against them.,Edward Snowden
There is no such thing as public opinion. There is only published opinion.,Winston Churchill
"I have no use for bodyguards, but I have very specific use for two highly trained certified public accountants.",Elvis Presley
With public figures involved in a relationship it seems that there is a machine behind their love so oftentimes.,Joaquin Phoenix
Under no circumstances am I going to criticize my family in public.,Tucker Carlson
There are very few jobs where you're held up to public scrutiny.,Michael Keaton
I am not a public speaker and never will be.,Heath Ledger
Let your literary compositions be kept from the public eye for nine years at least.,Horace
I'm a very big public school advocate.,Cynthia Nixon
All actors should experience public failure.,Olivia Wilde
My greatest fear is speaking in public.,Jennifer Love Hewitt
"Public opinion can be influential, the media can be influential.",Noam Chomsky
There is no private life which has not been determined by a wider public life.,George Eliot
"A private sin is not so prejudicial in this world, as a public indecency.",Miguel de Cervantes
The public is a ferocious beast; one must either chain it or flee from it.,Voltaire
Ice Cube is the piece of me that I give away to the public.,Ice Cube
"Defining of the public interest is always very, very difficult.",Keir Starmer
"The public weal requires that men should betray, and lie, and massacre.",Michel de Montaigne
Americans detest all lies except lies spoken in public or printed lies.,Edgar Watson Howe
"You know, I definitely have an inclination to work in the public sector.",Rashida Jones
I'm not going to raise taxes; I'm not going to have a wage increase for public employees.,Andrew Cuomo
I was never interested in being an overly public person.,John Cusack
"When I was the director of public prosecutions between 2008 and 2013, I had staff working at the Eurojust HQ in The Hague 24/7.",Keir Starmer
Public opinion is the thermometer a monarch should constantly consult.,Napoleon Bonaparte
"Truth stands, even if there be no public support. It is self-sustained.",Mahatma Gandhi
"After 1994, the public had the impression we Republicans overpromised and underdelivered.",Mitch McConnell
I don't feel the pressure by outsiders. I'm not someone who's easily influenced by the public.,Khloe Kardashian
I knew no one who'd ever been in the public eye.,J. K. Rowling
I'm not cantankerous.,Dick Van Dyke
I have no desire to run for public office.,Alec Baldwin
The unjustified swelling of the budgetary deficit and the accumulation of public debts are just as destructive as adventurous stock-jobbing.,Vladimir Putin
"The 'public' scares me, but people I trust.",Marilyn Monroe
